Monthly_Spending,Visit_Frequency,Customer_Support_Calls,Membership_Years,Discounts_Used,Churn
422,2,0,2,12,0
100,4,3,5,19,0
67,5,9,7,1,0
443,21,2,8,18,0
19,14,6,7,18,0
265,1,4,6,2,0
326,29,8,3,2,0
258,22,2,2,5,0
492,14,5,6,12,0
376,21,9,0,13,0
386,13,1,6,5,0
326,22,2,5,8,0
416,16,3,2,9,0
15,4,5,2,15,0
340,29,0,1,14,0
197,27,5,0,11,0
244,6,3,4,12,0
380,9,7,6,17,0
420,1,8,6,1,0
192,22,7,5,13,0
296,17,7,9,16,0
132,28,1,5,0,0
167,23,9,6,10,0
332,4,1,7,13,0
22,6,5,4,11,0
324,16,4,0,13,0
63,7,5,6,16,0
369,29,8,1,11,0
286,27,9,4,5,0
52,5,6,6,8,0
276,9,4,6,11,0
118,24,9,8,16,0
332,19,6,4,15,0
175,1,7,5,1,0
360,27,0,9,17,0
417,26,9,5,15,0
115,8,6,0,9,0
60,20,3,9,18,0
213,23,4,6,3,0
454,4,1,9,6,0
311,23,9,6,15,0
52,17,4,3,18,0
292,1,8,3,4,0
94,2,0,5,4,0
226,21,2,2,6,0
167,27,3,9,16,0
359,14,8,5,0,0
136,26,1,3,2,0
200,22,6,9,15,0
275,2,8,7,1,0
396,1,9,4,0,0
470,25,3,7,6,0
69,13,4,8,9,0
292,23,9,3,2,0
475,8,3,0,17,0
388,22,6,9,2,0
438,29,7,6,6,0
71,9,7,6,14,0
417,24,2,4,0,0
311,20,1,4,18,0
135,21,5,0,4,0
471,2,0,2,6,0
496,17,8,0,10,0
181,6,6,6,0,0
72,3,7,4,1,0
269,27,6,3,13,0
25,20,4,6,9,0
188,17,4,8,2,0
339,6,6,5,13,0
377,8,6,8,4,0
110,14,1,5,16,0
484,10,1,9,6,0
185,20,6,8,0,0
202,10,4,5,10,0
462,15,1,8,5,0
470,8,0,2,15,0
310,11,8,4,13,0
396,16,7,4,16,0
282,26,1,9,14,0
476,3,1,7,13,0
430,15,2,6,6,0
270,13,3,1,9,0
184,11,8,1,18,0
243,14,5,6,6,0
309,7,2,9,14,0
225,19,7,9,13,0
426,15,5,3,14,0
256,6,7,5,18,0
30,20,9,8,15,0
460,22,1,9,1,0
333,7,7,3,1,0
252,24,4,6,0,0
297,14,9,8,15,0
289,22,3,0,18,0
253,4,2,9,3,0
172,9,8,1,2,0
155,7,9,8,10,0
76,25,6,4,16,0
112,15,6,3,4,0
319,3,5,6,8,0
419,5,8,4,0,0
453,17,2,0,8,0
134,27,0,8,3,0
126,28,6,7,15,0
481,24,8,2,14,0
260,1,5,9,9,0
330,1,9,2,4,0
444,16,1,2,15,0
379,23,7,6,5,0
235,14,8,1,15,0
197,11,9,8,3,0
196,14,7,3,14,0
85,8,8,6,2,0
282,19,0,7,18,0
478,2,2,4,8,0
158,23,2,7,4,0
204,10,8,3,15,0
373,5,2,9,2,0
293,15,9,1,7,0
482,1,0,2,13,0
53,2,2,5,2,0
463,19,1,9,15,0
455,22,8,5,6,0
179,17,0,6,8,0
103,15,1,3,2,0
233,24,0,7,7,0
287,18,8,7,11,0
47,21,6,6,16,0
279,8,0,2,13,0
491,29,9,2,15,0
244,21,5,1,18,0
120,29,4,6,3,0
387,14,9,5,2,0
419,8,4,6,12,0
177,22,3,1,8,0
63,23,2,3,12,0
406,8,7,0,11,0
136,19,6,1,14,0
487,13,4,6,2,0
284,28,8,4,2,0
51,5,6,9,1,0
50,10,9,2,5,0
59,7,1,1,15,0
496,9,6,2,17,0
396,14,6,3,8,0
168,6,3,9,2,0
341,10,7,9,15,0
408,1,3,4,3,0
191,11,6,7,13,0
190,8,3,8,3,0
438,6,7,1,17,0
175,17,2,2,17,0
241,4,1,3,17,0
215,6,9,6,2,0
364,29,5,5,6,0
473,15,6,5,12,0
59,10,6,9,6,0
417,17,5,6,12,0
410,10,7,0,3,0
155,5,5,7,15,0
307,19,5,8,14,0
154,7,2,1,12,0
25,29,1,0,9,0
94,24,6,3,9,0
225,19,5,1,4,0
491,10,0,5,3,0
61,19,1,2,18,0
45,11,1,8,14,0
116,3,0,7,8,0
228,11,2,6,15,0
432,6,4,6,3,0
346,6,3,6,10,0
418,15,1,4,16,0
380,3,7,7,0,0
495,22,8,3,8,0
307,25,7,4,11,0
263,11,6,2,11,0
414,8,9,2,9,0
77,27,1,1,8,0
482,29,5,4,19,0
196,29,3,1,15,0
133,23,4,9,12,0
39,23,8,3,2,0
194,8,8,9,17,0
298,23,3,0,3,0
368,29,7,1,18,0
483,16,4,0,12,0
482,3,8,1,12,0
62,8,1,3,11,0
409,8,3,0,0,0
186,13,2,5,1,0
481,1,6,0,2,0
142,10,1,2,12,0
371,5,2,1,11,0
496,5,8,1,15,0
86,17,7,3,13,0
359,22,1,8,13,0
69,14,5,2,16,0
464,6,2,5,4,0
376,14,5,9,5,0
474,12,4,2,9,0
320,20,9,9,8,0
100,22,3,4,6,0
428,22,6,8,3,0
462,1,9,2,6,0
307,5,6,7,10,0
334,18,3,5,5,0
289,14,2,7,15,0
208,7,3,1,15,0
464,29,1,8,12,0
127,25,3,0,11,0
192,15,3,2,1,0
407,9,4,3,12,0
64,15,0,5,0,0
280,27,1,3,9,0
14,16,7,1,9,0
110,9,7,2,10,0
397,27,7,2,8,0
295,7,4,5,3,0
477,7,7,4,16,0
62,17,8,4,18,0
227,11,3,3,9,0
338,27,3,3,12,0
295,6,6,8,1,0
249,14,4,6,8,0
223,15,9,7,6,0
113,21,0,3,9,0
370,8,7,2,11,0
373,24,3,0,19,0
231,27,7,8,10,0
349,4,1,8,3,0
357,1,3,1,11,0
198,6,1,3,11,0
336,26,4,3,7,0
333,1,9,0,19,0
485,21,9,1,13,0
320,5,7,7,6,0
108,19,6,5,2,0
106,5,4,0,18,0
336,22,6,6,13,0
82,5,4,6,18,0
491,17,6,5,9,0
265,28,3,7,11,0
240,12,3,4,17,0
179,7,9,1,18,0
491,15,3,3,17,0
342,19,7,7,12,0
166,23,0,7,16,0
428,21,9,4,5,0
438,13,4,5,15,0
467,12,9,8,17,0
231,19,1,9,8,0
373,13,9,9,12,0
355,27,3,9,3,0
108,6,4,1,12,0
229,1,7,4,2,0
422,6,1,8,3,0
253,13,1,2,18,0
463,13,1,5,0,0
268,13,7,3,0,0
486,20,2,3,8,0
450,4,4,2,2,0
203,5,1,9,2,0
384,13,5,0,17,0
159,9,9,7,1,0
376,17,5,4,10,0
164,3,1,1,8,0
31,27,3,0,1,0
467,20,1,0,19,0
125,18,9,3,3,0
122,25,3,3,8,0
442,27,6,5,13,0
220,15,4,6,18,0
33,23,9,0,15,0
292,1,3,9,13,0
301,9,9,1,14,0
372,6,9,2,17,0
410,18,2,8,14,0
65,1,5,3,18,0
275,22,1,5,8,0
63,7,3,1,15,0
346,10,7,1,16,0
117,6,1,1,9,0
211,7,8,4,4,0
211,6,1,8,8,0
431,8,7,5,13,0
346,2,7,8,9,0
392,9,6,5,0,0
483,25,9,8,19,0
227,27,5,4,2,0
252,9,0,0,15,0
363,7,1,5,4,0
397,9,6,3,12,0
187,17,3,8,4,0
484,3,8,5,10,0
70,16,2,0,16,0
414,16,3,5,2,0
45,2,2,2,5,0
367,11,6,2,15,0
55,16,1,6,19,0
104,15,9,1,1,0
336,1,1,8,4,0
53,21,1,8,18,0
329,17,3,6,19,0
235,3,7,8,10,0
155,22,7,5,17,0
481,22,7,8,2,0
278,19,7,9,11,0
22,20,6,1,12,0
34,7,5,4,19,0
270,22,6,5,19,0
137,29,4,5,8,0
48,11,7,3,8,0
166,18,1,3,6,0
