Transaction_ID,Customer_Age,Gender,Income_Category,Transaction_Amount,Transaction_Type,Merchant_Type,Previous_Transactions,Fraudulent
TXN1,56,Male,High,1404.17,In-store,Clothing,35,0
TXN2,69,Female,High,1470.99,Online,Entertainment,2,0
TXN3,46,Female,Very High,1747.85,In-store,Electronics,9,0
TXN4,32,Male,Very High,2887.61,Online,Clothing,21,0
TXN5,60,Male,Medium,4155.21,Online,Entertainment,31,0
TXN6,25,Male,Medium,1221.11,Online,Electronics,28,0
TXN7,38,Female,Low,2924.04,Online,Electronics,14,0
TXN8,56,Male,Low,3755.47,In-store,Clothing,3,0
TXN9,36,Female,Medium,4972.73,Online,Electronics,23,0
TXN10,40,Male,Medium,4539.5,Online,Entertainment,21,0
TXN11,28,Female,Low,3239.83,In-store,Grocery,48,0
TXN12,28,Female,Low,4735.11,In-store,Others,33,0
TXN13,41,Female,High,4698.96,Online,Electronics,16,1
TXN14,53,Female,Low,232.39,Online,Grocery,19,0
TXN15,57,Male,Medium,3257.69,In-store,Entertainment,41,0
TXN16,41,Male,Medium,3259.94,In-store,Clothing,39,0
TXN17,20,Female,Very High,3386.3,Online,Electronics,1,0
TXN18,39,Male,Medium,4693.28,In-store,Others,24,0
TXN19,19,Female,Low,1443.1,Online,Clothing,31,0
TXN20,41,Female,Low,1189.25,In-store,Electronics,45,0
TXN21,61,Female,Low,2403.26,Online,Entertainment,17,0
TXN22,47,Male,Low,1525.67,Online,Others,25,1
TXN23,55,Male,High,1604.1,Online,Clothing,24,1
TXN24,19,Female,Medium,1247.16,Online,Others,14,0
TXN25,38,Male,Medium,3359.23,Online,Others,10,0
TXN26,50,Female,Medium,3673.88,Online,Grocery,7,0
TXN27,29,Male,Medium,504.52,In-store,Grocery,44,0
TXN28,39,Male,Very High,3996.31,In-store,Electronics,6,0
TXN29,61,Male,High,1347.47,In-store,Grocery,38,0
TXN30,42,Female,Low,669.21,In-store,Grocery,22,0
TXN31,66,Female,Medium,2289.73,Online,Electronics,32,0
TXN32,44,Female,Low,3072.63,Online,Grocery,46,0
TXN33,59,Female,High,3610.66,Online,Grocery,46,0
TXN34,45,Female,Low,3006.12,Online,Electronics,12,0
TXN35,33,Female,Medium,4689.93,Online,Grocery,35,0
TXN36,32,Male,Low,111.8,Online,Grocery,9,0
TXN37,64,Female,Low,4558.12,Online,Electronics,24,0
TXN38,68,Male,Low,3669.49,In-store,Others,23,1
TXN39,61,Female,Very High,4681.14,Online,Grocery,29,0
TXN40,69,Female,Low,1254.17,Online,Clothing,47,0
TXN41,20,Male,High,958.87,Online,Electronics,36,0
TXN42,54,Male,High,4983.83,In-store,Grocery,31,0
TXN43,68,Female,Low,2233.67,Online,Grocery,29,0
TXN44,24,Male,Medium,1372.48,Online,Entertainment,14,0
TXN45,38,Female,High,3963.42,Online,Electronics,37,0
TXN46,26,Male,Medium,2689.26,Online,Clothing,43,0
TXN47,56,Female,Low,3104.11,Online,Grocery,30,0
TXN48,35,Male,Very High,283.28,Online,Others,2,0
TXN49,21,Female,Low,3330.79,In-store,Others,26,0
TXN50,42,Male,Low,3461.17,Online,Electronics,40,0
TXN51,31,Male,Low,695.25,Online,Clothing,30,0
TXN52,67,Male,High,3725.6,Online,Electronics,25,0
TXN53,26,Male,Low,357.82,In-store,Grocery,21,0
TXN54,43,Male,High,477.24,In-store,Clothing,15,0
TXN55,19,Female,Low,3137.31,Online,Clothing,15,0
TXN56,37,Male,Low,4725.64,Online,Grocery,7,0
TXN57,45,Female,High,2215.76,In-store,Electronics,1,0
TXN58,64,Male,High,815.06,In-store,Grocery,20,0
TXN59,24,Female,Medium,3730.35,Online,Electronics,27,0
TXN60,61,Male,Medium,2952.53,Online,Grocery,34,0
TXN61,25,Female,Medium,4867.1,In-store,Grocery,14,0
TXN62,64,Female,Medium,706.96,Online,Electronics,44,0
TXN63,52,Male,Medium,3843.46,In-store,Electronics,11,0
TXN64,31,Male,High,1313.47,Online,Grocery,47,0
TXN65,34,Male,High,4560.81,Online,Electronics,43,0
TXN66,53,Male,High,3944.47,Online,Electronics,47,0
TXN67,67,Male,Low,2287.55,Online,Others,39,0
TXN68,57,Male,Low,233.54,In-store,Clothing,38,0
TXN69,21,Female,Low,3423.38,Online,Grocery,6,0
TXN70,19,Male,High,2314.65,Online,Others,48,0
TXN71,23,Male,Low,3992.02,In-store,Grocery,33,0
TXN72,59,Male,Low,3705.54,Online,Electronics,2,0
TXN73,21,Female,Very High,3743.84,Online,Electronics,32,0
TXN74,46,Male,Low,865.49,Online,Clothing,43,0
TXN75,35,Female,Low,2187.72,Online,Grocery,31,0
TXN76,43,Female,Very High,2355.58,Online,Entertainment,3,1
TXN77,61,Female,Low,3926.36,In-store,Grocery,25,0
TXN78,51,Male,High,2034.18,Online,Grocery,40,0
TXN79,27,Female,Low,4328.2,Online,Others,39,0
TXN80,53,Male,Low,1382.65,Online,Electronics,38,0
TXN81,31,Female,Low,4930.77,Online,Others,41,0
TXN82,48,Female,Very High,450.89,Online,Others,16,0
TXN83,65,Male,High,2490.33,Online,Clothing,2,0
TXN84,32,Female,Low,2948.28,Online,Others,48,0
TXN85,25,Female,High,2218.11,In-store,Grocery,31,1
TXN86,31,Male,Low,2746.33,In-store,Grocery,42,0
TXN87,40,Male,Medium,3894.99,Online,Electronics,14,0
TXN88,57,Female,Low,859.71,In-store,Electronics,49,0
TXN89,38,Female,High,4739.32,Online,Clothing,49,1
TXN90,33,Female,Medium,1968.42,Online,Clothing,1,0
TXN91,62,Female,Very High,3115.66,In-store,Others,30,0
TXN92,35,Male,Medium,2212.52,In-store,Electronics,16,0
TXN93,64,Female,Medium,3001.16,Online,Clothing,22,0
TXN94,41,Female,Medium,3627.42,Online,Clothing,21,0
TXN95,43,Male,High,2540.75,In-store,Clothing,14,0
TXN96,42,Male,Low,566.56,Online,Electronics,31,0
TXN97,62,Female,Medium,1672.67,In-store,Grocery,33,0
TXN98,58,Female,High,4026.2,Online,Clothing,3,0
TXN99,46,Female,Medium,2852.92,Online,Grocery,28,0
TXN100,32,Male,Low,3794.9,Online,Grocery,21,0
TXN101,62,Male,Low,4441.9,Online,Entertainment,24,0
TXN102,18,Female,High,2198.91,Online,Electronics,13,0
TXN103,42,Female,Low,1771.22,In-store,Entertainment,49,0
TXN104,24,Male,Low,566.16,In-store,Electronics,31,0
TXN105,26,Female,Low,1360.91,In-store,Grocery,9,0
TXN106,41,Female,Low,2113.78,Online,Clothing,24,0
TXN107,18,Female,Low,669.64,Online,Clothing,23,0
TXN108,61,Female,High,574.59,Online,Others,17,0
TXN109,25,Male,Low,2231.74,Online,Clothing,16,0
TXN110,41,Female,Medium,1868.21,Online,Others,28,0
TXN111,28,Male,High,4234.29,In-store,Clothing,39,0
TXN112,68,Female,Very High,150.31,In-store,Clothing,35,0
TXN113,34,Male,Medium,3818.24,Online,Others,8,0
TXN114,25,Female,Very High,1050.2,Online,Entertainment,42,0
TXN115,52,Female,Medium,4398.84,Online,Electronics,19,0
TXN116,52,Female,High,1424.52,In-store,Clothing,22,0
TXN117,50,Female,Very High,2757.59,In-store,Entertainment,44,0
TXN118,22,Male,Low,1276.25,In-store,Clothing,10,1
TXN119,59,Female,Low,2065.62,Online,Others,48,0
TXN120,56,Male,High,1198.63,In-store,Electronics,25,0
TXN121,58,Male,Low,1871.73,Online,Grocery,46,0
TXN122,45,Female,Low,4325.64,In-store,Clothing,14,0
TXN123,24,Female,High,3476.44,Online,Clothing,7,0
TXN124,26,Female,Low,1680.35,Online,Electronics,33,0
TXN125,25,Female,Low,4273.69,In-store,Electronics,41,0
TXN126,29,Female,Very High,266.44,Online,Electronics,25,0
TXN127,51,Female,Low,3528.8,Online,Others,22,0
TXN128,50,Female,High,3136.01,Online,Clothing,2,0
TXN129,65,Female,Medium,1878.88,Online,Clothing,3,0
TXN130,40,Male,Very High,2068.72,In-store,Others,42,0
TXN131,41,Female,High,1901.61,In-store,Grocery,4,0
TXN132,54,Female,Medium,3208.7,In-store,Others,27,0
TXN133,52,Male,Very High,1197.59,Online,Others,5,0
TXN134,61,Male,Medium,4973.57,In-store,Grocery,48,0
TXN135,57,Female,Medium,24.49,Online,Grocery,49,0
TXN136,39,Male,Medium,2334.73,Online,Grocery,36,0
TXN137,44,Male,Low,1154.34,In-store,Others,28,0
TXN138,52,Male,High,1778.8,In-store,Grocery,0,0
TXN139,18,Male,Low,4316.88,Online,Others,38,0
TXN140,52,Female,Low,1792.55,In-store,Grocery,15,0
TXN141,54,Male,High,1078.16,Online,Others,26,0
TXN142,64,Male,Low,1840.64,In-store,Others,22,0
TXN143,31,Female,Medium,1606.58,Online,Clothing,42,0
TXN144,20,Male,Medium,2544.46,Online,Clothing,2,0
TXN145,18,Female,Medium,4500.41,Online,Electronics,8,0
TXN146,22,Female,Low,3484.49,Online,Others,25,0
TXN147,43,Female,High,4252.2,In-store,Grocery,42,0
TXN148,31,Female,Medium,1512.86,Online,Grocery,23,0
TXN149,56,Male,Low,157.66,Online,Grocery,43,0
TXN150,44,Male,Low,1815.7,Online,Electronics,16,0
TXN151,26,Male,Medium,3538.11,In-store,Grocery,2,0
TXN152,32,Male,Medium,1386.87,Online,Others,39,0
TXN153,32,Female,Very High,1389.97,Online,Grocery,42,0
TXN154,43,Male,Low,473.77,Online,Electronics,12,0
TXN155,59,Female,High,1048.28,Online,Electronics,9,0
TXN156,30,Male,High,3667.51,Online,Electronics,39,0
TXN157,68,Male,Medium,2543.51,Online,Electronics,49,0
TXN158,49,Male,High,345.01,Online,Others,6,0
TXN159,56,Male,High,4986.48,In-store,Entertainment,19,0
TXN160,66,Female,High,2841.3,Online,Electronics,1,0
TXN161,69,Female,Low,786.14,Online,Electronics,18,0
TXN162,49,Female,Low,251.85,Online,Entertainment,48,0
TXN163,21,Female,Medium,2792.85,In-store,Clothing,26,1
TXN164,47,Female,Low,1271.63,Online,Others,32,0
TXN165,54,Female,Medium,1261.58,Online,Entertainment,26,0
TXN166,40,Male,Medium,2480.68,Online,Grocery,7,0
TXN167,56,Male,Medium,2326.63,Online,Electronics,40,0
TXN168,62,Female,Medium,1805.5,Online,Electronics,41,0
TXN169,32,Male,Low,4047.33,Online,Entertainment,7,0
TXN170,60,Male,Low,2005.92,Online,Entertainment,42,0
TXN171,46,Male,Medium,2247.36,Online,Clothing,13,0
TXN172,53,Male,Medium,3144.72,Online,Clothing,37,0
TXN173,30,Female,Low,3576.95,In-store,Grocery,33,0
TXN174,49,Male,Low,1864.67,Online,Clothing,45,0
TXN175,24,Male,Low,2607.8,Online,Clothing,18,0
TXN176,68,Male,Medium,2515.89,In-store,Electronics,11,0
TXN177,39,Female,Medium,4396.21,Online,Others,26,0
TXN178,45,Female,Low,2092.69,In-store,Clothing,8,0
TXN179,19,Male,Medium,2307.82,Online,Clothing,37,0
TXN180,59,Female,Medium,2882.99,Online,Others,6,0
TXN181,62,Male,Medium,3329.51,In-store,Grocery,15,0
TXN182,23,Female,High,14.81,Online,Electronics,0,0
TXN183,45,Female,Low,3262.39,In-store,Entertainment,2,0
TXN184,45,Female,Low,769.58,In-store,Grocery,24,0
TXN185,61,Male,Medium,4879.86,In-store,Electronics,42,0
TXN186,61,Male,Very High,1796.06,In-store,Entertainment,23,0
TXN187,37,Male,Medium,2414.25,Online,Electronics,1,0
TXN188,47,Male,Low,350.75,In-store,Electronics,15,0
TXN189,28,Male,Very High,4362.08,In-store,Grocery,29,0
TXN190,45,Male,Medium,1245.37,Online,Clothing,34,0
TXN191,42,Male,Medium,1539.45,Online,Clothing,0,0
TXN192,56,Female,Medium,3107.61,In-store,Grocery,34,0
TXN193,50,Male,Low,47.93,In-store,Grocery,44,0
TXN194,18,Female,High,4954.02,Online,Grocery,12,0
TXN195,44,Female,Medium,2542.03,In-store,Clothing,15,0
TXN196,69,Female,Very High,4174.12,Online,Electronics,47,0
TXN197,30,Female,Low,4536.46,Online,Electronics,7,0
TXN198,58,Female,Medium,12.13,Online,Grocery,22,0
TXN199,20,Female,Medium,2146.73,Online,Clothing,42,0
TXN200,56,Male,High,4449.81,Online,Entertainment,44,0
TXN201,23,Female,Low,3465.74,Online,Grocery,38,0
TXN202,25,Female,High,3698.76,In-store,Clothing,26,0
TXN203,44,Male,Medium,2761.88,Online,Others,13,0
TXN204,26,Male,Medium,4881.04,Online,Clothing,6,0
TXN205,54,Female,High,525.1,Online,Others,10,0
TXN206,50,Female,Medium,4352.32,Online,Others,12,1
TXN207,68,Female,High,3391.93,In-store,Clothing,14,0
TXN208,59,Male,Medium,2743.21,Online,Grocery,4,0
TXN209,61,Female,Low,3348.14,In-store,Grocery,44,0
TXN210,41,Male,Low,3922.66,In-store,Others,11,0
TXN211,32,Female,Low,934.36,In-store,Electronics,6,0
TXN212,49,Male,Medium,1111.15,Online,Clothing,14,0
TXN213,49,Female,Low,1232.32,Online,Electronics,4,0
TXN214,41,Male,High,1739.65,In-store,Grocery,8,0
TXN215,58,Male,Low,2834.22,In-store,Clothing,47,1
TXN216,69,Male,Medium,4555.91,In-store,Electronics,23,0
TXN217,66,Male,Low,1278.25,Online,Electronics,39,0
TXN218,66,Female,Low,2771.5,In-store,Others,7,0
TXN219,69,Male,Low,4883.81,In-store,Others,13,0
TXN220,29,Male,Very High,3388.75,In-store,Electronics,8,0
TXN221,56,Male,Low,2150.08,Online,Clothing,37,0
TXN222,19,Female,Low,380.88,Online,Clothing,38,0
TXN223,20,Male,High,1625.25,In-store,Clothing,0,0
TXN224,66,Male,Medium,1614.2,Online,Electronics,47,0
TXN225,54,Female,Medium,3372.4,In-store,Clothing,41,0
TXN226,66,Female,High,863.88,Online,Grocery,11,0
TXN227,34,Female,High,2471.5,Online,Clothing,30,0
TXN228,66,Female,High,2003.84,In-store,Clothing,19,0
TXN229,19,Male,Medium,710.08,In-store,Electronics,29,0
TXN230,19,Female,Medium,4443.47,Online,Entertainment,40,0
TXN231,45,Female,Very High,3109.93,Online,Grocery,28,1
TXN232,40,Female,High,3370.87,Online,Others,47,0
TXN233,54,Male,Medium,1982.36,Online,Grocery,24,0
TXN234,49,Female,Low,4190.14,Online,Others,9,0
TXN235,50,Male,Very High,4631.69,In-store,Clothing,34,0
TXN236,18,Female,Low,133.52,Online,Grocery,29,0
TXN237,36,Male,Low,2254.69,In-store,Entertainment,14,0
TXN238,19,Male,Low,3360.23,In-store,Clothing,39,0
TXN239,61,Female,Low,4186.1,Online,Clothing,16,0
TXN240,43,Male,High,3942.42,In-store,Others,40,0
TXN241,49,Female,Low,4902.96,Online,Clothing,10,0
TXN242,23,Female,Low,3793.62,Online,Grocery,42,0
TXN243,49,Female,Low,634.32,Online,Clothing,16,0
TXN244,21,Male,Low,805.29,In-store,Entertainment,3,0
TXN245,28,Female,Medium,4761.37,In-store,Electronics,16,0
TXN246,34,Female,Medium,130.98,Online,Clothing,7,0
TXN247,55,Male,High,1891.46,Online,Others,27,0
TXN248,41,Female,High,2162.72,Online,Others,5,0
TXN249,22,Male,Low,1304.36,Online,Grocery,24,0
TXN250,69,Male,Medium,3652.75,Online,Electronics,0,0
TXN251,51,Female,Medium,4165.87,Online,Electronics,15,0
TXN252,23,Female,Low,4782.34,Online,Others,37,0
TXN253,39,Male,Medium,4835.71,Online,Grocery,15,0
TXN254,28,Male,Low,1964.83,Online,Clothing,28,0
TXN255,65,Female,Low,4728.5,In-store,Others,20,0
